DATE,PROVINCE,ESTABLISH_NAME,ADDRESS,CITY,VENDOR_NUMBER_PO,VENDOR_NAME,PRODUCT_SKU_NO,PRODUCT_NAME,WEEK_ENDING_DATE,CASE_SALES
10/14/2024,BC,HIGH5 CANNABIS,5 - 3227 264th Street,Aldergrove,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-09-21 0:00,1
10/14/2024,BC,HIGH5 CANNABIS,5 - 3227 264th Street,Aldergrove,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,HIGH5 CANNABIS,5 - 3227 264th Street,Aldergrove,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,HIGH5 CANNABIS,5 - 3227 264th Street,Aldergrove,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
10/14/2024,BC,HIGH5 RETAIL,732 Tyee Rd,Victoria,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,HIVE CANNABIS,3301 30 Avenue,Vernon,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,HIVE CANNABIS,213 St. Laurent Avenue,Quesnel,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-05 0:00,1
10/14/2024,BC,HONEYCOMB CANNABIS,2317 Millstream Road,Victoria,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,1
10/14/2024,BC,HONEYCOMB CANNABIS,2317 Millstream Road,Victoria,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,HONEYCOMB CANNABIS,2317 Millstream Road,Victoria,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,2
10/14/2024,BC,HONEYCOMB CANNABIS,2317 Millstream Road,Victoria,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
10/14/2024,BC,HONEYCOMB CANNABIS,2317 Millstream Road,Victoria,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,1
10/14/2024,BC,HOPE CANNABIS CO.,Unit C 821 Sixth Ave,Hope,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
10/14/2024,BC,IMAGINE CANNABIS,Unit 124-1199 Lynn Valley Road,North Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-05 0:00,1
3/18/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-03-02 0:00,4
10/14/2024,BC,IMAGINE CANNABIS CO,552 Clarke Road Unit 105,Coquitlam,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-21 0:00,1
10/14/2024,BC,IMAGINE CANNABIS CO,552 Clarke Road Unit 105,Coquitlam,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-28 0:00,1
10/14/2024,BC,IMAGINE CANNABIS CO,5150 Ladner Trunk Road,Delta,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-28 0:00,1
3/18/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-03-02 0:00,4
10/14/2024,BC,IMAGINE CANNABIS CO,552 Clarke Road Unit 105,Coquitlam,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,1
3/18/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-03-02 0:00,4
10/14/2024,BC,INSPIRED CANNABIS CO,114-50 Tenth St,Nanaimo,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-28 0:00,1
3/25/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-03-02 0:00,4
3/25/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-03-02 0:00,4
